ID,Condition,Trial,JumpHeightFP,JumpHeightMarkers,PeakPower,AvgPower
16,CMJ,2,0.408002957598085,0.52152692313692,57.1075653174567,8.4974588057412
16,CMJ_R,1,0.0866587925537854,,22.5423445269492,0.147923391509893
16,CMJ_R,2,0.0894161447341653,,22.6329484590226,-0.522858559844106
16,CMJ_L,1,0.0936491024055597,,23.2323931525437,0.558942475779926
16,CMJ_L,2,0.115101658892691,,25.1817363453329,2.23647471249242
17,CMJ,1,0.229016974521184,0.361325260548492,39.3936039766146,4.52708693042094
17,CMJ,2,0.23253175387076,0.360950590687937,39.1596848713822,4.32940918540241
17,CMJ_R,1,0.00658849770948987,,7.35432275134667,-4.53149569197527
17,CMJ_R,2,0.00610909627709867,,7.03026041016879,-7.06851583590411
17,CMJ_L,1,0.0159674976616821,,10.1543012659797,-6.12237531844524
17,CMJ_L,2,0.00611024916147794,,7.17681883124579,-7.05248298243897
18,CMJ,1,0.224768600620514,0.356221938685042,38.7624696642675,3.78332446336017
18,CMJ,2,0.215246511214244,0.366647916993031,37.0138858261601,2.89208203332863
18,CMJ_R,1,0.0518026343334844,,16.4048560589617,-0.883542275185067
18,CMJ_R,2,0.0511470414757712,,16.2740545603236,0.01730511160209
18,CMJ_L,1,0.0730700124653953,,18.9821897652007,1.16514707544022
18,CMJ_L,2,0.0748423148666454,,19.5739440091532,0.994900874443174
19,CMJ,1,0.384964465943197,0.492710867318435,53.8150591152418,5.79386320717093
19,CMJ,2,0.389789296933284,0.524386080696602,54.3840144134268,6.11281659463592
19,CMJ_R,1,0.157636683489543,,32.6555402966467,3.26408870996596
19,CMJ_R,2,0.139952309403131,,30.9001901253762,3.03020495871644
19,CMJ_L,1,0.156860311406735,,32.3397395583236,4.55582020840435
19,CMJ_L,2,0.146420670563286,,31.4607917552453,3.84186404794361
20,CMJ,1,0.368163186443972,0.406521372253061,56.2634549906123,5.75455880916211
20,CMJ,2,0.401334043259537,0.442159042940361,58.7387310799587,6.39662816972921
20,CMJ_R,1,0.154704161794068,,30.5704030247234,3.35996601010837
20,CMJ_R,2,0.196698626445007,,34.8107463176749,3.19760354378879
20,CMJ_L,1,0.179409834602159,,33.377550637776,3.57212265212749
20,CMJ_L,2,0.181021430108628,,32.944227670301,2.91563087967887
